material,sub_material,bin,instructions
Second Hand,"couches, sofas and lounge suites",dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal.   Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,dressers,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,dvd players,dropoff,DVD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,electric fans,dropoff,Electric fans are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,food processors,dropoff,Food processors are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,gaming consoles,dropoff,Gaming consoles are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,golf clubs,dropoff,"In good or OK condition  Ring your local op shop to see whether they'll accept them, or try selling them or giving them away for free on an online marketplace. Broken or poor condition Golf clubs are classified as ‘sporting goods’ and are therefore eligible to be collected as part of our  hard waste collection service."
Second Hand,hairdryers,dropoff,Hairdryers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,hand food mixers,dropoff,Hand food mixers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,kettles,dropoff,Kettles are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,laundry irons,dropoff,Laundry irons are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,nursery and baby furniture,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Local charityGeelong Mumstakes donations of many baby and nursery items to give to other families in need. Volunteers collect donations of cots, prams, car seats, clothes and other baby items. They then work with local social service agencies and Maternal Health Nurses, who request items for local families who are facing a variety of challenges. Donated items must meet current Victorian safety standards and must be in great condition - a good question to ask is would you be happy to pass on to a close friend. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,outdoor furniture - metal,dropoff,"Free to take to the Drysdale or Geelong Resource Recovery Centres for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,outdoor furniture - plastic,dropoff,"Drop off for free at the Drysdale or Geelong Resource Recovery Centre for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,playstation consoles,dropoff,Playstation consoles are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres. Take your e-waste to a better place.Find out more.
Second Hand,"prams, car seats and other baby items",dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres for disposal (fees apply). Local charity Geelong Mumstakes donations of many baby and nursery items to give to other families in need. Furniture needs to be less than 10 years old. Volunteers collect donations of cots, prams, car seats, clothes and other baby items. They then work with local social service agencies and Maternal Health Nurses, who request items for local families who are facing a variety of challenges. Donated items must meet current Victorian safety standards and must be in great condition - a good question to ask is would you be happy to pass on to a close friend. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit thehard waste page."
Second Hand,record players,dropoff,Record players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres. Take your e-waste to a better place.Find out more.
Second Hand,rice cookers,dropoff,Rice cookers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centre. Take your e-waste to a better place. Find out more.
Second Hand,sideboards,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,slow cookers,dropoff,Slow cookers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,suitcases and luggage,dropoff,"If still in good condition, you may wish to donate your suitcase to a local op shop or advertise online community ‘freecycling’ group.   If your suitcase is in poor condition, you may wish to recycle it through terracycle. Otherwise, you can: - place your suitcase in your red lid kerbside waste bin if it fits - drop off at either the Geelong or Drysdale Resource Recovery Centres (charges apply), or  - book free hard waste collection (two free collections per address each year). Terracycle offer recycling service for a wide range of items, some are free, some are paid. Find out more here."
Second Hand,toasters,dropoff,Toasters are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more.
Second Hand,vhs video players,dropoff,VHS video players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,wardrobes,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,wetsuits,dropoff,"If your wetsuit is still in usable condition you may wish to donate it. If your wetsuit is not in usable condition you can recycle it with Ripcurl, regardless of brand. Otherwise, place in your red lid kerbside waste bin. Ripcurl stores accept all wetsuits brands for recycling. Simply drop off in store or, if you are not near a store, they may provide free postage. Find out more here."
Textiles,blankets,dropoff,"Donate to charity if in good condition. Drop off during business hours to ensure goods are accepted. Put in the rubbish bin if in poor condition, or if you are able to, organise pick up from a textile recycling program. Geelong Animal Welfare Society (GAWS) is always in need of good quality blankets, towels, and flat sheets. There are also severalused textile recyclingprograms now available in Geelong, some free, some paid. They accept textiles that are in unusable condition."
Textiles,carpet,dropoff,"Take to the Drysdale or Geelong Resource Recovery Centres for disposal. Fees will apply. Alternatively, residents are now able to have their bulky household items picked up from their property. A maximum 4 carpet rolls, up to 1.5 metres wide can be picked up. For more details on booking your free hard waste collection, and what items can be included visit the hard waste page."
Textiles,clothing,dropoff,"Clothes in good condition can be donated to charities or sold through online marketplaces. Clothes should not be placed in your yellow lid recycling bin. Clothes not suitable for reuse can be placed in your red lid bin. There are severalused textile recycling programs now available, some free, some paid."
Textiles,cushions,dropoff,Put in red lid garbage bin if in poor condition. Donate to charity if in good condition. Drop off during business hours to ensure goods are accepted. Items left at the front of charity stores are often stolen.
Textiles,disposable face coverings and surgical masks,dropoff,"After using disposable face coverings and surgical masks, cut the ear loops.  This prevents wildlife from getting entangled. Place your face coverings or surgical masks in a separate bag before disposing of it in your general waste bin.  If the covering has touched any other recyclables such as cardboard and paper, those should go into the general waste bin as well."
Textiles,mats,red,Put in red lid garbage bin. Mats can not be recycled via your yellow lid recycling bin.
Textiles,nappies,red,Put in your rubbish bin.
Textiles,rugs,red,Put in your red lid garbage bin. Rugs can not be recycled via your yellow lid recycling bin.
Textiles,sheets,dropoff,"Sheridan Geelong in Pakington Street does take old sheets and blankets of any brand, as long as they’re clean. These are recycled into items like tea towels"
Textiles,"shoes, runners, sneakers",dropoff,"Think about selling or donating your item if it's still in good condition. Drop off sports shoes, gum boots and sneakers to Treadlightly bins for recycling (see link below). Otherwise, put in your red rubbish bin. Shoes should never be put in your recycling bin. TreadLightly is a national recycling initiative with several drop off points in Geelong that takes unwanted sport and active lifestyle footwear. Work boots and formal shoes are not accepted.Find out more."
Textiles,suitcases and luggage,dropoff,"If still in good condition, you may wish to donate your suitcase to a local op shop or advertise online community ‘freecycling’ group.   If your suitcase is in poor condition, you may wish to recycle it through terracycle. Otherwise, you can: - place your suitcase in your red lid kerbside waste bin if it fits - drop off at either the Geelong or Drysdale Resource Recovery Centres (charges apply), or  - book free hard waste collection (two free collections per address each year). Terracycle offer recycling service for a wide range of items, some are free, some are paid. Find out more here."
Textiles,textiles,dropoff,"Put in red lid garbage bin if in poor condition. Donate to charity if in good condition. Drop off during business hours to ensure goods are accepted. Items left at the front of charity stores are often stolen. There are several used textile recyclingprograms now available, some free, some paid."
Textiles,towels,dropoff,"Donate to charity if in good condition. Drop off during business hours to ensure goods are accepted. Put in the rubbish bin if in poor condition, or if you are able to, organise pick up from a textile recycling program. Geelong Animal Welfare Society(GAWS) is always in need of good quality blankets, towels, and flat sheets. There are also severalused textile recyclingprograms now available in Geelong, some free, some paid. They accept textiles that are in unusable condition."
Textiles,tshirts,dropoff,"Put in the rubbish bin if in poor condition. Donate to charity if in good condition. Drop off during business hours to ensure goods are accepted. Items left at the front of charity stores are often stolen. There are severalused textile recycling programs no available, some free, some paid."
Textiles,wetsuits,dropoff,"If your wetsuit is still in usable condition you may wish to donate it. If your wetsuit is not in usable condition you can recycle it with Ripcurl, regardless of brand. Otherwise, place in your red lid kerbside waste bin. Ripcurl stores accept all wetsuits brands for recycling. Simply drop off in store or, if you are not near a store, they may provide free postage. Find out more here."
Whitegoods,clothes dryers,dropoff,"If the clothes dryer is still in good condition, you could try selling or donating it through an online marketplace. If the clothes dryer no longer works, you may be able to have it repaired by one of the local appliance repair businesses operating across Geelong. Otherwise, clothes dryers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place into the metal bin. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page. Take your e-waste to a better place.Find out more."
Whitegoods,dishwashers,dropoff,"Dishwashers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Whitegoods,freezers,dropoff,"Freezers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Allfreezers are placed aside for correct removal of gasses by certified plumbers before being recycling in metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Whitegoods,fridges,dropoff,"Fridges are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. All fridges are placed aside for correct removal of gasses by certified plumbers before being recycling in metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Whitegoods,large household appliances,dropoff,"Large household appliances like fridges and freezers, washing machines, clothes dryers and dishwashers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Whitegoods,microwave ovens,dropoff,Microwave ovens are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more.
Whitegoods,ovens,dropoff,"Ovens are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Whitegoods,stoves,dropoff,"Stoves are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property.  For more details on booking and what items can be included visit the hard waste page."
Whitegoods,washing machines,dropoff,"Washing machines are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Other,balls and rackets,yellow,"Nearly all types of sports balls, as well as badminton and tennis rackets, can be placed in Game On Recycling bins for recycling (see link below). Otherwise, put in your red rubbish bin. Balls should never be put in your recycling bin. Australians use around 10 million tennis balls and 2 million basketballs each year. Game On Recycling works with businesses, sporting clubs and the community to divert unwanted balls from landfill. Participating locations and the type of items they accept can be found here."
Other,blister packs,dropoff,"Blister packs should be placed in your red lid kerbside rubbish bin, or can be dropped off for recycling at the following pharmacies:  Peak Pharmacy Corio Village, Corio Village Shopping Centre  Geelong Soul Pattinson Pharmacy, 133 Yarra St Geelong  Priceline Pharmacy East Geelong, 1 Ormond Rd, East Geelong  Bellarine Village Community Care Chemist, Shop 5,25-29 Bellarine Hwy, Bellarine Village Shopping Centre, Newcomb  Portarlington Pharmacy, 90 Newcombe St, Portarlington  Ocean Grove Terrace Pharmacy, 76A The Terrace, Ocean Grove  Pardeys Eastbrooke Pharmacy, 75-77 Roslyn Rd, Belmont  Kardinia Pharmacy, 2-18 Colac Rd, Belmont  Direct Chemist Outlet Highton, Hills Plaza, 46 Province Boulevard, Highton Due to high volume of uptake with this program we recommend you contact your chosen pharmacy before visiting to confirm they still have capacity to accept your blister packs. Rotary clubs of the Geelong Region, in collaboration with Pharmacycle, successfully applied for a City of Greater Geelong Community Environmental Sustainability Projects Grant to trial blister pack recycling across Geelong. This trial is for a period of 12 months and commenced in July 2023."
Other,bread tags,yellow,"Cardboardbread tags should be placed in your yellow lid kerbside recycling bin. As they are so small, it is best if you place them inside a larger paper item such as an envelope or paper bag first. Plastic bread tags should be placed in your red lid kerbside rubbish bin or dropped off at one of the below locations for recycling: - Urban Upcycle in Geelong - Bakers Delight in Geelong West - Surf Coast Hearing Clinic in Torquay - Bakers Delight in Belmont Aussie Bread Tags for Wheelchairs recycle plastic bread tags to raise funds to provide wheelchairs to those in need."
Other,bricks,dropoff,"Small quantities can be dropped off free to local construction recyclers Regional Recycle at313 Hamilton Highway, Fyansford, VIC. Call before you visit to ensure they are still able to accept material:0421 174 360"
Other,building rubble,dropoff,Take to the Drysdale or Geelong Resource Recovery Centres. Fees will apply.
Other,car tyres,dropoff,Drop off at Drysdale or Geelong Resource Recovery Centres. Fees apply. You can dispose off a maximumof 10 car tyres per transaction at the Drysdale Resources Recovery Centre.
Other,cat and dog food pouches,red,Cat and dog food pouches should be placed in the red landfill bin. Geelong Animal Welfare Society (GAWS) is seeking donations of the following: - Dry dog food - Wet and dry cat food - Treats such as schmackos and pigs' ears Find our more here.
Other,cat beds and igloos,dropoff,"If still in good condition, cat beds and igloos can be dropped off at Geelong Animal Welfare Society (GAWS). If you are unable to do so, or if they are in poor condition, place in your red lid landfill bin. As well as pet related items, GAWS also accepts many household items. These are either used directly in caring for the animals they house or sold on through their op-shop. You can find out morehere."
Other,cellophane,green,"Most cellophane is available for purchase is plastic-coated and therefore must be directed to your red landfill bin.  If you purchase true cellophane, it is completely biodegradable and can be directed to your compost bin.  True cellophane is made from plant-based materials and is therefore completely biodegradable. Unfortunately, it can be difficult to identify plastic-coated cellophane as store-bought products are rarely labelled. Watch this online video to learn how to tell the difference between true cellophane and its plastic-coated form."
Other,cooking oil,dropoff,Drop it off for free at the Geelong Resource Recovery Centre in Douro St North Geelong.
Other,disposable gloves (latex and rubber),red,Disposable gloves (latex and rubber) are not recyclable and should be placed in your general waste bin.
Other,disposal cigarette lighters,red,Empty disposal lighters go in the rubbish bin.
Other,dog poo,red,Any general waste bin and any type of bag can be used for the disposal of dog poo.
Other,dry pet food bags,red,Dry pet food bags should be placed in your red landfill bin. Geelong Animal Welfare Society (GAWS) is seeking donations of the following: - Dry dog food - Wet and dry cat food - Treats such as schmackos and pigs ears You can find out more here.
Other,e cigarettes (vapes),dropoff,"E cigarettes (vapes) must not be placed in any of your kerbside bins. If the battery can be removed safely it can be taken to one of many local battery drop off points. Hold onto vapes that cannot have the battery removed, or vapes that have had it removed, and check back on this page soon for updates on what to do with them.  Despite being a relatively new product, vapes are now one of the leading causes of truck, tip and recycling fires in Australia. Vapes are classified as e waste and cannot be placed in any kerbside recycling bin in Victoria. You can receive email updates on how to safely dispose of vapes, as well as other recycling tips by subscribing to Rethink Your Rubbish."
Other,fireworks and firecrackers,dropoff,Take it to Geelong Police Station for safe disposal.
Other,fridge magnets,red,Place in the rubbish bin.
Other,handbags,red,Handbags and school bags cannot be recycled through your kerbside recycling bin. Handbags unsuitable for reuse or resale should be placed in your waste bin.
Other,insulation batts,dropoff,Bag each item and take to the Drysdale Resource Recovery Centre. Disposal fee applies.
Other,liquid paper and correction tape,dropoff,"Liquid paper and correction tape can be dropped off for free at Officeworks stores. They also accept pens, felt tip pens, highlighters, textas, markers, mechanical pencils, fountain pens and ink cartridges. Alternatively, these items can be placed in your red lid landfill bin. As part of thierBring IT Back program Officeworks sends used writing instruments collected in store to TerraCycle. Pens and markers can be used to make outdoor furniture, and watering cans, as well as many other things. Find out morehere."
Other,medicines,dropoff,"Take out out-of-date and unwanted medicines to your local pharmacy. Known as the Return Unwanted Medicines (RUM) Project, the national scheme provides for unwanted and out-of-date medicines to be collected by community pharmacies from consumers."
Other,"pens, highlighters, markers",dropoff,"The following items can be dropped off for free at Officeworks stores: pens, felt tip pens, highlighters, textas, markers, mechanical pencils, correction tape, liquid paper, fountain pens and ink cartridges. Alternatively, these items can be placed in your red lid landfill bin. As part of thierBring IT Back program Officeworks sends used writing instruments collected in store to TerraCycle. Pens and markers can be used to make outdoor furniture, watering cans, as well as many other things. Find out more here."
Other,"pet food - dog, cat",dropoff,"Geelong Animal Welfare Society (GAWS) is seeking donations of the following: - Dry dog food - Wet and dry cat food - Treats such as schmackos and pigs ears Otherwise, unwanted pet food can be placed in your red lid landfill bin. GAWS also accepts many other household items. These are either used directly in caring for the animals they house or sold on through their op-shop. You can find out more here."
Other,pet toys,dropoff,"Geelong Animal Welfare Society (GAWS) is seeking donations of pet toys and enrichment items such as kongs, tug toys, and scratching posts. Otherwise, pet toys should be placed in your red lid landfill bin. GAWS also accepts many other household items. These are either used directly in caring for the animals they house or sold on through their op-shop. You can find out morehere."
Other,photographic film negatives,dropoff,"Photographic film negativescan be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. They should be placed in the dedicated x-ray slot in the recycling station located in the foyer.   X-rays and photographic film negatives are recycled here in Australia. They are a valuable source of silver and plastic."
Other,pink batts,dropoff,Bag each item and take to the Drysdale Resource Recovery Centre. Disposal fee applies.
Other,printer cartridges,dropoff,"Printer cartridges can be dropped off for recycling at a number of retail outlets including JB Hi-Fi, Officeworks and Australia Post (see link below for full list). They cannot be recycled through your yellow lid recycling bin. Find your local printer cartridge recyclingcollection point. Recycled cartridges can be turned into new products such as new cartridges, stationery and building materials for roads."
Other,rapid antigen tests (rats),dropoff,"Used RATs may only be disposed of in general waste bins, they must not be placed in recycling bins. You can recycle the cardboard packaging and instructions. More information can be found from the EPA website."
Other,rocks - small,dropoff,Rocks should not be placed in your green waste bin.  Larger rocks or stones should be taken to the Drysdale or Geelong Resource Recovery centres for disposal. Charges apply.
Other,rubber foam,red,"Put in your red general rubbish bin. While rubber foam cannot be recycled in Geelong, white polystyrene foam can be dropped off for free at our Geelong Resource Recovery Centre."
Other,rubber hot water bottles,red,Place in the household rubbish bin.
Other,sharps (syringes and needles),dropoff,Medical sharps (syringes and needles) disposal bins can be found at the following locations: Renal Services - Home Dialysis Unit 74-76 Swanston St Geelong City of Greater Geelong Depot 299 Anakie Road Lovely Banks Labuan Square Labuan Square Norlane Belmont Library  163 High St Belmont Brougham St Office 100 Brougham St Geelong Drysdale Library  18-20 Hancock St Drysdale Ocean Grove Community Health Centre Presidents Ave Ocean Grove Geelong Hospital (Front Emergency Entrance) Ryrie Stree Geelong Newcomb Community Health Centre Bellarine Highway East Geelong Corio Community Health Centre (Street side of building) Gellibrand St Corio Corio Community Health Centre (Carpark of building) Gellibrand St Corio Belmont Community Health Centre Reynolds Rd Belmont Waurn Ponds Library  140 Pioneer Rd Grovedale Geelong West Library 153a Pakington St Geelong West Sharps disposal locations are subject to change. Always check with the centre/organisation beforehand.
Other,suitcases and luggage,dropoff,"If still in good condition, you may wish to donate your suitcase to a local op shop or advertise online community ‘freecycling’ group.   If your suitcase is in poor condition, you may wish to recycle it through terracycle. Otherwise, you can: - place your suitcase in your red lid kerbside waste bin if it fits - drop off at either the Geelong or Drysdale Resource Recovery Centres (charges apply), or  - book free hard waste collection (two free collections per address each year). Terracycle offer recycling service for a wide range of items, some are free, some are paid. Find out more here."
Other,toothbrushes,dropoff," Take any brand of used toothbrush to a TerraCycle public drop-off point or mail bulk quantities for free. Used toothbrushes that are not recycled via TerraCycle must be placed in the red landfill bin. Electric toothbrushes are classified as e-waste so the process for recycling them is different to a regular toothbrush (use the search bar to find these in our guide).  TerraCycle offers a Recycling Rewards Program for oral care products and packaging that can help you raise funds for your local school or charity. For more information, visit the TerraCycle website."
Other,vacuum cleaner dust,red,Put in a bag or wrap in paper and put in the red lid rubbish bin.
Other,wetsuits,dropoff,"If your wetsuit is still in usable condition you may wish to donate it. If your wetsuit is not in usable condition you can recycle it with Ripcurl, regardless of brand. Otherwise, place in your red lid kerbside waste bin. Ripcurl stores accept all wetsuits brands for recycling. Simply drop off in store or, if you are not near a store, they may provide free postage. Find out more here."
Other,x-rays,dropoff,"X-rays can be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. There is a dedicated x-ray slot in the recycling station located in the foyer. X-rays are recycled here in Australia. They are a valuable source of silver and plastic."
